movie_title,release_date,genre,mpaa_rating,total_gross,inflation_adjusted_gross,poster_url
The Black Cauldron,1985-07-24,Adventure,,21288692,50553142,https://image.tmdb.org/t/p/w200/ef11J5KGMp26kEzeg8ghAKeB65C.jpg
My Science Project,1985-08-09,Comedy,,4100000,9736051,https://image.tmdb.org/t/p/w200/pKPdD20G8fvlY6tFVjmJYdbgqQf.jpg
The Journey of Natty Gann,1985-09-27,Drama,,9468512,22302956,https://image.tmdb.org/t/p/w200/z2eHb3ih4k9zannMKn3wmVvYAis.jpg
One Magic Christmas,1985-11-22,Drama,,13229514,31415432,https://image.tmdb.org/t/p/w200/kiKa6GhHDPRLgo4VAFRmeMBrvdB.jpg
Down and Out in Beverly Hills,1986-01-31,Comedy,R,62134225,141183693,https://image.tmdb.org/t/p/w200/5bfbUsKcJD4HHFmlTcpHBI2wR2k.jpg
Off Beat,1986-04-11,Comedy,,4842778,11003932,https://image.tmdb.org/t/p/w200/nGkJpzuTBJH1AHnyDc0qYIxEK2z.jpg
Ruthless People,1986-06-27,Comedy,R,71624879,162748712,https://image.tmdb.org/t/p/w200/fA3f8bsXoVbIALq4EdiAwptF1ws.jpg
The Great Mouse Detective,1986-07-02,Adventure,,23605534,53637367,https://image.tmdb.org/t/p/w200/9uDr7vfjCFr39KGCcqrk44Cg7fQ.jpg
Flight of the Navigator,1986-07-30,Adventure,,18564613,42183197,https://image.tmdb.org/t/p/w200/tdRgQWMximj0tL6OWu9kRTtePmI.jpg
Tough Guys,1986-10-03,Comedy,,21458229,48758184,https://image.tmdb.org/t/p/w200/eDp0MPUSCeXrIziaZC65iUHISLs.jpg
The Color of Money,1986-10-17,Drama,R,52293000,117957323,https://image.tmdb.org/t/p/w200/dVdnHmdQu3JtLAAksjTmTEF76gD.jpg
Outrageous Fortune,1987-01-30,Comedy,R,52864741,113976921,https://image.tmdb.org/t/p/w200/bZdQaa9HymxGfjBo3mFhhpWXVeG.jpg
Tin Men,1987-03-06,Comedy,,25411386,54787202,https://image.tmdb.org/t/p/w200/5rWE9ft0Uc2kuDWlkg5vQth58XZ.jpg
Ernest Goes to Camp,1987-05-22,Comedy,,23509382,50686462,https://image.tmdb.org/t/p/w200/14GzgM3U2ABJ3h4ixhOkWpoQJAj.jpg
Benji the Hunted,1987-06-05,Adventure,,15212539,32798382,https://image.tmdb.org/t/p/w200/g4mlRGzUKCXfRDUJqSRPY0mKPMC.jpg
Adventures in Babysitting,1987-07-03,Comedy,,33790923,72853569,https://image.tmdb.org/t/p/w200/8QiAj0Xw2UMeZMIIfZKeNoIsszs.jpg
